Time,P_Ste_S.y,stePre.y[1]
8981100,899313.75,901117
8981521,899314,901346.3
8982000,899314.4,901607
8982000,899314.4,901607
8982383,899301.06,899287.9
8982900,899282.44,896163
8982900,899282.44,896163
8983246,899295.5,893978.06
8983800,899317.8,890473
8983800,899317.8,890473
8984108,899292.3,892341.7
8984700,899242,895937
8984700,899242,895937
8984970,899249.8,897319.1
8985600,899269.5,900544
8985600,899269.5,900544
8985832,899283.4,900396.7
8986500,899323.94,899973
8986500,899323.94,899973
8986694,899313.94,900384.06
8987400,899275.25,901876
8987400,899275.25,901876
8987557,899283.56,901443.44
8988300,899325.9,899390
8988300,899325.9,899390
8988419,899316.7,898968.8
8989200,899252.06,896199
8989200,899252.06,896199
8989281,899254.75,896386.6
8990100,899288.06,898284
8990100,899288.06,898284
8990143,899289.44,898324.5
8991000,899316.8,899128
8991000,899316.8,899128
8991005,899316.94,899139.8
8991868,899312.94,901028.06
8991900,899312.75,901099
8991900,899312.75,901099
8992730,899327.1,898484.2
8992800,899328.4,898263
8992800,899328.4,898263
8993592,899245.44,897144.5
8993700,899234.1,896992
8993700,899234.1,896992
8994454,899258.9,899821.94
8994600,899263.75,900369
8994600,899263.75,900369
8995316,899328.1,899442.44
8995500,899344.8,899205
8995500,899344.8,899205
8996179,899283.44,900775.56
8996400,899263.1,901288
8996400,899263.1,901288
8997041,899259.4,902655.75
8997300,899257.94,903209
8997300,899257.94,903209
8997903,899291.44,900727.3
8998200,899308.2,899505
8998200,899308.2,899505
8998765,899294.9,898689.9
8999100,899286.75,898207
8999100,899286.75,898207
8999627,899265.25,893281.06
9000000,899250.2,889801
9000000,899250.2,889801
9000490,899233.25,891950.9
9000900,899219.06,893753
9000900,899219.06,893753
9001352,899253.7,897002.44
9001800,899288.94,900226
9001800,899288.94,900226
9002214,899294.7,899993.7
9002700,899300.75,899721
9002700,899300.75,899721
9003076,899278.44,900968.3
9003600,899246.94,902705
9003600,899246.94,902705
9003938,899257.56,903327.6
9004500,899276.2,904361
9004500,899276.2,904361
9004801,899254.7,903675.3
9005400,899210.6,902308
9005400,899210.6,902308
9005663,899248.6,898604.9
9006300,899344.1,889626
9006300,899344.1,889626
9006525,899318.9,888484.5
9007200,899239.3,885060
9007200,899239.3,885060
9007387,899245.5,887093.44
9008100,899271.7,894836
9008100,899271.7,894836
9008249,899268.94,896197.56
9009000,899254.2,903038
9009000,899254.2,903038
9009112,899267.8,902032.9
9009900,899370.1,894932
9009900,899370.1,894932
9009974,899362.1,894779.5
9010800,899257.25,893072
9010800,899257.25,893072
9010836,899256.56,893619.9
