Time,Qboi_S.y,MeaData.y[1],T_exh_S.y,MeaData.y[3],boi.VLiq,boi.V,mFueFlo_S.y,MeaData.y[2],T_Ste_S.y,MeaData.y[4],boi.furHeaBal.eta_boi,boi.furHeaBal.per_exh
8731483,4204369.5,4253486.5,491.7085,492.1,25.41396,50,0.10184467,0.10403184,448.40594,452.0648,0.8365529,0.053863566
8731800,4203252,4252309,491.69254,492.1,25.416128,50,0.10181665,0.10406,448.40585,452.1,0.83654666,0.05386982
8731800,4203252,4252309,491.69254,492.1,25.416128,50,0.10181665,0.10406,448.40585,452.1,0.83654666,0.05386982
8732345,4212992.5,4262807.5,491.6868,492.1,25.419302,50,0.10206799,0.1040297,448.40643,451.9788,0.836543,0.053873498
8732700,4219336,4269633,491.68613,492.1,25.419615,50,0.102231406,0.10401,448.4069,451.9,0.83654284,0.053873677
8732700,4219336,4269633,491.68613,492.1,25.419615,50,0.102231406,0.10401,448.4069,451.9,0.83654284,0.053873677
8733208,4218969,4269197.5,491.6801,492.1,25.41956,50,0.10222196,0.10402128,448.40698,451.9564,0.8365428,0.053873707
8733600,4218685,4268861,491.68018,492.1,25.420244,50,0.10221465,0.10403,448.40695,452,0.8365428,0.05387371
8733600,4218685,4268861,491.68018,492.1,25.420244,50,0.10221465,0.10403,448.40695,452,0.8365428,0.05387371
8734070,4230684.5,4281736.5,491.70078,492.2044,25.42125,50,0.102523,0.10401956,448.4077,452,0.8365487,0.053867806
8734500,4241687,4293527,491.72214,492.3,25.421738,50,0.10280536,0.10401,448.40854,452,0.8365571,0.053859394
8734500,4241687,4293527,491.72214,492.3,25.421738,50,0.10280536,0.10401,448.40854,452,0.8365571,0.053859394
8734932,4216329.5,4266297,491.70755,492.108,25.423468,50,0.1021518,0.1040148,448.40698,451.952,0.8365606,0.053855915
8735400,4188843,4236798,491.70874,491.9,25.428892,50,0.10144379,0.10402,448.40485,451.9,0.8365609,0.053855564
8735400,4188843,4236798,491.70874,491.9,25.428892,50,0.10144379,0.10402,448.40485,451.9,0.8365609,0.053855564
8735794,4195875,4244325.5,491.72388,491.9,25.434774,50,0.10162545,0.10402,448.40506,451.9876,0.83655643,0.05386005
8736300,4204878.5,4253984,491.69922,491.9,25.44128,50,0.10185854,0.10402,448.40582,452.1,0.83654666,0.053869817
8736300,4204878.5,4253984,491.69922,491.9,25.44128,50,0.10185854,0.10402,448.40582,452.1,0.83654666,0.053869817
8736656,4210484.5,4260075,491.69507,491.9792,25.444891,50,0.10200288,0.10401604,448.40628,452.1396,0.83654726,0.05386926
8737200,4219078.5,4269365,491.71918,492.1,25.448196,50,0.102223024,0.10401,448.40698,452.2,0.8365571,0.05385938
8737200,4219078.5,4269365,491.71918,492.1,25.448196,50,0.102223024,0.10401,448.40698,452.2,0.8365571,0.05385938
8737519,4212932.5,4262704.5,491.7187,492.1,25.449661,50,0.10206434,0.10402416,448.4067,452.2,0.83656025,0.05385624
8738100,4201693,4250550,491.72113,492.1,25.454248,50,0.10177475,0.10405,448.40585,452.2,0.8365609,0.053855564
8738100,4201693,4250550,491.72113,492.1,25.454248,50,0.10177475,0.10405,448.40585,452.2,0.8365609,0.053855564
8738381,4269656.5,4323477,491.86243,493.7536,25.465471,50,0.10352106,0.1098688,448.4096,452.2936,0.8365954,0.053821113
8739000,4419932,4484291,492.24448,497.4,25.551733,50,0.10737188,0.1227,448.4212,452.5,0.8367487,0.053667795
8739000,4419932,4484291,492.24448,497.4,25.551733,50,0.10737188,0.1227,448.4212,452.5,0.8367487,0.053667795
8739243,4738805.5,4826866,492.7093,500.289,25.592213,50,0.1155739,0.1269606,448.44296,452.554,0.8368164,0.05360011
8739900,5601293,5753088,493.15836,508.1,25.586,50,0.13774972,0.13848,448.52805,452.7,0.83700943,0.053407066
8739900,5601293,5753088,493.15836,508.1,25.586,50,0.13774972,0.13848,448.52805,452.7,0.83700943,0.053407066
8740105,5571780,5721135.5,492.92932,508.4648,25.557947,50,0.1369846,0.13853016,448.53296,452.7,0.837042,0.053374536
8740800,5471196,5612946,492.96033,509.7,25.498085,50,0.13439396,0.1387,448.52158,452.7,0.8370516,0.05336491
8740800,5471196,5612946,492.96033,509.7,25.498085,50,0.13439396,0.1387,448.52158,452.7,0.8370516,0.05336491
8740967,5476620,5618781,492.99435,509.7,25.49043,50,0.13453422,0.13869256,448.52112,452.6814,0.83704764,0.053368844
8741700,5500205.5,5644317,492.89172,509.7,25.45384,50,0.13514806,0.13866,448.52344,452.6,0.83700603,0.053410493
8741700,5500205.5,5644317,492.89172,509.7,25.45384,50,0.13514806,0.13866,448.52344,452.6,0.83700603,0.053410493
8741830,5508951,5653771.5,492.88025,509.772,25.446661,50,0.1353743,0.1386672,448.5245,452.6,0.836999,0.053417496
8742600,5560993,5709973,492.79578,510.2,25.390965,50,0.13671911,0.13871,448.53345,452.6,0.83696663,0.053449836
8742600,5560993,5709973,492.79578,510.2,25.390965,50,0.13671911,0.13871,448.53345,452.6,0.83696663,0.053449836
8742692,5556346,5705033,492.7596,510.2,25.383007,50,0.13660075,0.13871,448.53366,452.6,0.8369589,0.053457603
8743500,5514820,5661541,492.3418,510.2,25.32329,50,0.13555862,0.13871,448.5277,452.6,0.83679324,0.05362327
8743500,5514820,5661541,492.3418,510.2,25.32329,50,0.13555862,0.13871,448.5277,452.6,0.83679324,0.05362327
8743554,5514030,5660759.5,492.31653,510.194,25.31995,50,0.13554002,0.1387106,448.52737,452.594,0.8367825,0.05363399
8744400,5502290,5648518,492.12994,510.1,25.2673,50,0.1352486,0.13872,448.52585,452.5,0.8367153,0.05370123
8744400,5502290,5648518,492.12994,510.1,25.2673,50,0.1352486,0.13872,448.52585,452.5,0.8367153,0.05370123
8744416,5502784.5,5649058.5,492.12823,510.0964,25.266283,50,0.1352615,0.13871983,448.52582,452.5018,0.8367143,0.05370219
8745278,5529293,5677821.5,492.07434,509.9048,25.208384,50,0.13594781,0.13871025,448.5284,452.5976,0.83669156,0.053724915
8745300,5529958,5678542,492.0732,509.9,25.206833,50,0.135965,0.13871,448.5285,452.6,0.83669114,0.05372535
8745300,5529958,5678542,492.0732,509.9,25.206833,50,0.135965,0.13871,448.5285,452.6,0.83669114,0.05372535
8746141,5501613,5647948,492.08176,509.7132,25.151228,50,0.13523328,0.1386633,448.52576,452.6,0.8367022,0.053714264
8746200,5499612.5,5645786,492.08484,509.7,25.147692,50,0.13518158,0.13866,448.52554,452.6,0.8367034,0.053713072
8746200,5499612.5,5645786,492.08484,509.7,25.147692,50,0.13518158,0.13866,448.52554,452.6,0.8367034,0.053713072
